Bogennummer;REDE_Namen;Longitude;Latitude;REDE_GIDs;Sprache;Herkunft;WS22::Transliteration WS22;WS22: Adjektivform;WS22: Stammvokal;WS31::Transliteration WS31;WS31: Adjektivform;WS31: Stammvokal
24360;Bottendorf;8,81166;51,02736;96272;1;Marburg;Mer mürren laure rüffen, seßt versterre ins nett.;laure;au;Ech verstenn üch nett, ehr müßt e beßche laurer sprechen.;laurer;au
24380;Bergfreiheit;9,09777;51,04852;100016;1;Marburg;Mer muß laude rufen, sest versteht hä uns net.;laude;au;Ech versteh eich net, d'r mut ä wink lauder sprächen.;lauder;au
24412;Roppershain;9,35252;51,03159;96729;1;Marburg;Mä muß lühre schwatzen, sost versterre em nett.;lühre;üh;Ich versteh üch nett, dä mutt e bischen lührer schwatzen.;lührer;üh
24431;Konnefeld;9,63006;51,04594;95575;1;Marburg;Me moß lührer böhken, sost (süst) verstett he uns nett.;lührer;üh;Ech (e breit) versteh uch ni͡ ett, de mutt i͜͡enn Bischen lührer schwatzen.;lührer;üh
24454;Berneburg;9,8863;51,06005;96740;1;Marburg;Man moß lute schreien (gauken) (becken) sost verstät he ons net.;lute;u;Ech versteh uch net, de mot en beschen luter spreche.;luter;u
24466;Lüderbach;10,13366;51,0732;98981;1;Marburg;Man muß lut schrej, sust verstett hä uns nitt.;lut;u;Ich verstih uch nitt, de mutt enn bischen luter spräch.;luter;u
24490;Züschen;8,56285;51,15356;101970;1;Marburg;Man mot harte krieschen süs versteiht hai uns nitt.;harte;a;Jeck verstoh uch nitt, ieh mötten enn wennig härter schwatzen.;härter;ä
2452;Kleschowen (Kutusowo);22,13331286;54,34995769;547834;1;Marburg;Man mot lut schriee, sonst versteit he ons nich.;lut;u;Eck verstoh ju nich, ju motte e beske luter spräke. (verstoah.);luter;u
24636;Rhadern;8,79521;51,1695;94257;1;Marburg;Man mot harte schmatzen (krischen) süsz versteit he uns nitt.;harte;a;Ek verstoh uch nitt jih mödden en bezken härter schwatzen.;härter;ä
24659;Buhlen;9,08456;51,18648;99290;1;Marburg;Me' müß harde' grischen, sist v'rschdehde inz nett.;harde';a;Ech v'rschdeh uch net, deh müddet 'n beßchen härter schwatzen.;härter;ä
